Iteration,monthlyCosts,combinedPrice,N,defaultCapacity,budget,wear,infra,attract
47,5000.0,70.0,70.0,15.0,145678.68760583398,49.588470090715234,69.99916984830529,45.74819149081212
46,5000.0,70.0,65.0,15.0,132081.47287084622,45.694875598370274,69.99950245328404,47.68401345956368
45,5000.0,70.0,60.0,15.0,114534.4995636907,40.764172484099866,69.99997052037655,50.13911660686315
48,5000.0,70.0,75.0,15.0,157715.98186834558,53.03649165865126,69.99891328230045,44.035080350037845
50,5000.0,90.0,55.0,15.0,177136.13307725964,42.91943895111376,69.99985423715778,49.03781341701956
49,5000.0,90.0,50.0,15.0,153142.68152549682,38.53234353389069,69.99998026257582,51.21816541913406
53,5000.0,90.0,70.0,15.0,224837.722735162,53.238539595712105,69.99926333973454,43.91563885836066
52,5000.0,90.0,65.0,15.0,210832.3320886073,50.12055169771404,69.99942346430342,45.46252790691317
54,5000.0,90.0,75.0,15.0,237599.45593044593,56.07983385243795,69.99912685784052,42.50682296321019
51,5000.0,90.0,60.0,15.0,195640.24144743595,46.738595834696696,69.9996135721769,47.14098824561215
57,5000.0,110.0,60.0,15.0,265182.479509182,48.49167595951537,69.99963626465909,46.26133767093983
59,5000.0,110.0,70.0,15.0,300009.6139696,54.83336372135622,69.99938707156859,43.115027177965565
56,5000.0,110.0,55.0,15.0,244660.81612604667,44.93001755740489,69.99979419687678,48.02917873347575
55,5000.0,110.0,50.0,15.0,219974.80749062344,41.1292308399789,69.99996508835402,49.91593005476896
60,5000.0,110.0,75.0,15.0,318578.7044383489,58.21512833875768,69.99927098340234,41.43455738500341
58,5000.0,110.0,65.0,15.0,282738.91790835425,51.68892819843284,69.99950567983376,44.67538540786834
61,5000.0,30.0,50.0,20.0,-32421.573747247177,56.67033972346302,40.098693379425946,12.173840323609234
62,5000.0,30.0,55.0,20.0,-30539.656343851315,57.924951325724614,39.88959144571517,11.338757915405392
63,5000.0,30.0,60.0,20.0,-28724.494513583013,59.13505921257519,39.687906797908845,10.53314658938645
65,5000.0,30.0,70.0,20.0,-25281.590189351326,61.43032876206009,39.305361872992876,9.004688788245723
64,5000.0,30.0,65.0,20.0,-26972.822462286742,60.30284058010159,39.49327656998591,9.755570626919196
66,5000.0,30.0,75.0,20.0,-23647.9455203065,62.519425208090034,39.12384579865324,8.279246477793597
67,5000.0,50.0,50.0,20.0,-16813.734023483892,56.67033972346302,40.098693379425946,12.173840323609234
69,5000.0,50.0,60.0,20.0,-10651.935300710631,59.13505921257519,39.687906797908845,10.53314658938645
68,5000.0,50.0,55.0,20.0,-13677.2050178249,57.924951325724614,39.88959144571517,11.338757915405392
70,5000.0,50.0,65.0,20.0,-7732.481881884715,60.30284058010159,39.49327656998591,9.755570626919196
72,5000.0,50.0,75.0,20.0,47242.306123509305,33.00280217939444,69.99996095891528,54.0970117871362
71,5000.0,50.0,70.0,20.0,-4913.7614269918295,61.43032876206009,39.305361872992876,9.004688788245723
73,5000.0,70.0,50.0,20.0,33386.21451500683,20.73518237171918,69.99994648122485,58.10713104394212
75,5000.0,70.0,60.0,20.0,119739.28782009026,41.12998082584442,69.99997834414958,49.95556376727273
76,5000.0,70.0,65.0,20.0,142107.6823294048,46.10758073229073,69.99950081659802,47.47685631015159
78,5000.0,70.0,75.0,20.0,173460.6632793288,53.982736761745485,69.99894456531781,43.55987571048573
77,5000.0,70.0,70.0,20.0,159144.6203334404,50.22678540325737,69.99919069259775,45.42772116194429
74,5000.0,70.0,55.0,20.0,85496.56198778874,33.25079211783201,69.99998350525784,53.88787321971822
80,5000.0,90.0,55.0,20.0,182090.081117151,42.51429230866177,69.99988672610061,49.24107227075408
79,5000.0,90.0,50.0,20.0,155217.98109196752,38.364863857713026,69.99998060004698,51.30215319878575
82,5000.0,90.0,65.0,20.0,223727.63930942546,49.815573756114915,69.99947583813436,45.61565378434861
83,5000.0,90.0,70.0,20.0,240906.7889826652,53.230677370126806,69.99931513212198,43.91963489359539
81,5000.0,90.0,60.0,20.0,204378.70392690515,46.26944706321762,69.99966031963109,47.37644084715382
84,5000.0,90.0,75.0,20.0,258355.4891790308,57.01965699320925,69.99915303695279,42.03484296253312
87,5000.0,110.0,60.0,20.0,277095.369710198,47.82274633496204,69.99968259077052,46.59703631822959
85,5000.0,110.0,50.0,20.0,225237.28155831268,40.79142312596112,70.00007138892754,50.08534823026496
86,5000.0,110.0,55.0,20.0,252809.65410258333,44.379002280071916,69.99982802318262,48.30561543129431
89,5000.0,110.0,70.0,20.0,319341.5091319176,54.624812217138086,69.99943366758225,43.219780442516644
88,5000.0,110.0,65.0,20.0,298817.7304803448,51.16992452989783,69.99955504795795,44.93593452626104
90,5000.0,110.0,75.0,20.0,345998.22100200155,59.47857925494649,69.99928484280764,40.80003282941654
